"Career Track","Talent Segment","Role Family","Role","Tech Specialty","Org Unit Level 1","Exp Hire Flag","Length-of-Service","Gender","Age of Employee","Strength 1","Strength 2","Strength 3","Strength 4","Strength 5","Strength 6","Strength 7","Strength 8","Strength 9","Strength 10","Strength 11","Strength 12","Strength 13","Strength 14","Strength 15","Strength 16","Strength 17","Strength 18","Strength 19","Strength 20","Strength 21","Strength 22","Strength 23","Strength 24","Strength 25","Strength 26","Strength 27","Strength 28","Strength 29","Strength 30","Strength 31","Strength 32","Strength 33","Strength 34"
"Client Delivery & Operations","Business & Technology Integration","Business & Integration Architecture","Business&Integration Arch Manager","Technology Architectures","Accenture Technology","Yes",59,"Male",40,"connectedness","input","individualisation","competition","developer","responsibility","discipline","command","woo","restorative","includer","harmony","adaptability","belief","significance","ideation","maximiser","achiever","learner","focus","activator","futuristic","arranger","communication","empathy","context","relator","deliberative","positivity","strategic","self-assurance","consistency","analytical","intellection"
"Client Delivery & Operations","Software Engineering","Application Development","Application Development Specialist","Microsoft BI","Accenture Technology","Yes",59,"Male",33,"context","positivity","input","activator","adaptability","belief","focus","strategic","woo","self-assurance","analytical","ideation","includer","deliberative","relator","responsibility","competition","learner","communication","consistency","intellection","restorative","command","empathy","achiever","harmony","maximiser","arranger","futuristic","discipline","significance","developer","connectedness","individualisation"
"Client Delivery & Operations","Software Engineering","Application Development","Application Development Assoc Manager","SAP ERP Procurement","Accenture Technology","Yes",35,"Male",34,"analytical","context","learner","significance","empathy","arranger","consistency","positivity","deliberative","relator","intellection","adaptability","ideation","communication","harmony","maximiser","focus","command","responsibility","woo","discipline","restorative","individualisation","developer","connectedness","achiever","belief","activator","futuristic","competition","self-assurance","strategic","includer","input"
"Client Delivery & Operations","Software Engineering","Application Development","Application Development Specialist","Java Enterprise - Back End","Accenture Technology","Yes",47,"Male",34,"positivity","significance","restorative","belief","empathy","command","competition","activator","self-assurance","achiever","harmony","futuristic","consistency","connectedness","maximiser","context","woo","input","includer","intellection","individualisation","focus","strategic","relator","arranger","developer","adaptability","communication","analytical","responsibility","discipline","deliberative","ideation","learner"
"Client Delivery & Operations","Software Engineering","Application Development","Application Development Specialist","Java and JVM Languages","Accenture Technology","Yes",96,"Male",40,"analytical","futuristic","strategic","belief","includer","ideation","activator","adaptability","significance","responsibility","self-assurance","learner","positivity","context","maximiser","competition","discipline","harmony","restorative","individualisation","relator","focus","developer","intellection","woo","consistency","arranger","empathy","input","command","deliberative","achiever","communication","connectedness"
"Client Delivery & Operations","Technology Architecture","Technology Architecture Delivery","Tech Architecture Delivery Manager","Oracle EBS Technology","Accenture Technology","No",120,"Male",36,"focus","activator","learner","relator","harmony","analytical","discipline","adaptability","deliberative","consistency","restorative","connectedness","arranger","achiever","empathy","individualisation","communication","ideation","belief","includer","intellection","woo","significance","developer","strategic","responsibility","input","maximiser","competition","command","futuristic","context","self-assurance","positivity"
"Client & Market","Strategy","Digital Strategy","Digital Strategy Director","Marketing Operations","Accenture Digital","No",169,"Male",50,"learner","empathy","discipline","achiever","command","ideation","analytical","significance","self-assurance","woo","futuristic","harmony","deliberative","includer","restorative","maximiser","adaptability","intellection","positivity","developer","activator","context","consistency","arranger","communication","competition","strategic","input","responsibility","individualisation","relator","focus","belief","connectedness"
"Corporate Function","Marketing & Communications","Marketing","Marketing & Communications MD","Accenture Marketing","Corporate Functions","No",181,"Female",47,"self-assurance","significance","deliberative","responsibility","intellection","discipline","futuristic","focus","command","adaptability","activator","restorative","empathy","learner","maximiser","connectedness","communication","input","arranger","positivity","developer","strategic","analytical","individualisation","achiever","competition","relator","includer","woo","context","belief","harmony","consistency","ideation"
"Corporate Function","Workplace Management & Solutions","Workplace Operations","Location Services Associate","Workplace Management","Corporate Functions","No",35,"Female",26,"restorative","competition","responsibility","developer","connectedness","communication","includer","positivity","empathy","deliberative","consistency","belief","intellection","command","adaptability","discipline","relator","achiever","strategic","significance","learner","self-assurance","input","context","analytical","focus","woo","individualisation","futuristic","maximiser","arranger","activator","harmony","ideation"
"Client & Market","Infrastructure","Infrastructure Consulting","Infrastructure Consulting Consultant","Business App Delivery","Accenture Operations","Yes",35,"Male",35,"intellection","input","developer","individualisation","positivity","maximiser","significance","deliberative","arranger","futuristic","command","communication","responsibility","analytical","learner","focus","restorative","harmony","adaptability","consistency","relator","achiever","self-assurance","woo","activator","ideation","connectedness","empathy","belief","context","strategic","competition","includer","discipline"
