"Assignment Fulfillment Entity 1","Assignment Fulfillment Entity 2","Role Demand type","Career Track","Location Radius","Source Location","Project Metro City","Project Supervising Entity","Sold","Client Contract Based","Assignment Title","Description","Requested Start Date","End Date","Status","Career Level From","Career Level To","Talent Segment","Assigned Role","Assignment Primary Specialization Level 1","Assignment Primary Specialization Level 2","Assignment Primary Specialization Level 3","Assignment Primary Specialization Level 4","Skill & Proficiency","Candidates"
"Other","Other","New",,"Any Location Globally","London","London","Products ","Yes","No","Instructional Designer","Develop and/or manage the development of training solutions using prescribed tools. Follow Content Development Center process, quality, budget and milestone standards. Implement the overall instructional design of learning products developed in the Content Development Center ensuring that projects successfully evolve from sponsor/stakeholders expectations through the development of assets and their effective and efficient deployment.","2020-02-06T00:00","2020-03-06T00:00","Open - Confirming Candidate",,,"Business Process Specialization         ","Instructional Designer",,,,," 1 - Curriculum Planning                                                             (P1 - Beginner) | 2 - Innovative Learning Solutions                                                   (P1 - Beginner) | 3 - Learning Content Analysis                                                       (P1 - Beginner) | 4 - Learning Pathways                                                               (P1 - Beginner) | 5 - Learning Strategy                                                               (P1 - Beginner)",1
"Other","Other","New",,"Any Location Globally","Hong Kong","Hong Kong","Financial Services ","Yes",,"Spring Application Framework-11-Manila","Act as software detectives, provide a dynamic service identifying and solving issues within multiple components of critical business systems.","2020-02-23T08:00","2021-03-30T08:00","Open - In Process",,,"Software Engineering                    ","Application Support Engineer","Technology","No Technology Category","No Technology Specialization",," 1 - Java Enterprise Edition                                                         (P3 - Advanced) | 2 - Spring Application Framework                                                    (P3 - Advanced)",0
"Other","Other","New",,"Any Location Globally","Hong Kong","Hong Kong","Financial Services ","Yes",,"Spring Application Framework-11-Manila","Act as software detectives, provide a dynamic service identifying and solving issues within multiple components of critical business systems.","2020-02-23T08:00","2021-03-30T08:00","Open - In Process",,,"Software Engineering                    ","Application Support Engineer","Technology","No Technology Category","No Technology Specialization",," 1 - Java Enterprise Edition                                                         (P3 - Advanced) | 2 - Spring Application Framework                                                    (P3 - Advanced)",0
"Other","Other","New",,"Any Location Globally","Hong Kong","Hong Kong","Financial Services ","Yes",,"Spring Application Framework-11-Manila","Act as software detectives, provide a dynamic service identifying and solving issues within multiple components of critical business systems.","2020-02-23T08:00","2021-03-30T08:00","Open - In Process",,,"Software Engineering                    ","Application Support Engineer","Technology","No Technology Category","No Technology Specialization",," 1 - Java Enterprise Edition                                                         (P3 - Advanced) | 2 - Spring Application Framework                                                    (P3 - Advanced)",0
"Other","Other","New",,"Any Location Globally","Houston","Houston","Resources ","Yes",,"Application Lead","Lead the effort to design, build and configure applications, acting as the primary point of contact.","2020-03-08T13:00","2020-12-30T13:00","Open - New",,,"Software Engineering                    ","Application Lead",,,,," 1 - ASP.NET                                                                         (P3 - Advanced)",0
"Other","Other","New",,"In Geographic Unit","Melbourne","Melbourne","Communications, Media & Technology ","Yes","No","security architect","37136 |","2020-02-06T00:00","2020-12-31T00:00","Open - Confirming Candidate",,,"Security                                ","Security Architect",,,,," 1 - Security Architectures                                                          (P1 - Beginner)",1
"Accenture Technology "," Technology Geographic Unit ","New",,"In Country","Sydney","Sydney","Communications, Media & Technology ","Yes","No","SEO Chapters - CRM - Senior Test Automation Engineer","Transform testing into a continuous and efficient end-to-end quality engineering function through the use of quality processes, tools, and methodologies significantly improving control, accuracy and integrity. Evolve more predictive and intelligent testing approaches based on automation and innovative testing products and solutions.","2020-02-10T00:00","2020-07-10T00:00","Open - New",,,"Software Engineering                    ","Test Automation Engineer",,,,," 1 - Quality Assurance                                                               (P3 - Advanced) | 2 - Quality Management                                                              (P3 - Advanced) | 3 - Test Automation Framework                                                       (P3 - Advanced) | 4 - Test Automation Strategy                                                        (P1 - Beginner)",0
"Other","Other","New",,"In Country","Melbourne","Melbourne","Products ","Yes","No","PMO Manager","Create, implement and manage a program office function in support of the execution of delivery or product work. Monitor and report progress to key stakeholders. May have responsibilities for the financial and operational management.","2020-02-07T00:00","2020-04-30T00:00","Open - Confirming Candidate",,,"Program, Project & Service Mgmt         ","Business Operations - PMO Lead",,,,," 1 - Business Operations Management                                                  (P1 - Beginner) | 2 - Operational Excellence                                                          (P1 - Beginner) | 3 - Program and Project Management                                                  (P1 - Beginner) | 4 - Project Management Body of Knowledge (PMBOK)                                    (P1 - Beginner) | 5 - Stakeholder Management                                                          (P1 - Beginner)",1
"Other","Other","New",,"In Country","Melbourne","Melbourne",,"Yes","No","Business Analyst","Analyze an organization and design its processes and systems, assessing the business model and its integration with technology. Assess current state, identify customer requirements, and define the future state and/or business solution. Research, gather and synthesize information.

Assist with Client Business Case and data modelling exercise and co-ordinate with offshore Capability Team to provide guidance and achieve outcomes as indicated in agreed SoW","2020-02-17T00:00","2020-03-27T00:00","Open - New",,,"Business & Technology Integration       ","Business Analyst",,,,," 1 - Business Case Development                                                       (P3 - Advanced)",0
"Other","Other","New",,"In Country","Melbourne","Melbourne","Financial Services ","Yes","No","IAM Designer","	to perform Admin Account Management for mainframe.

We anticipate a 3 week engagement that would require:
	High level requirements capture
	Possible POC with mainframe connector
	A high level design 
	Estimation
","2020-02-24T00:00","2020-03-16T00:00","Open - Confirming Candidate",,,"Security                                ","Security Specialist",,,,," 1 - Application Security Architecture and Design                                    (P1 - Beginner) | 2 - Java Programming language                                                       (P1 - Beginner)",1
